datatime,anomaly_class,cluster_mapped_class
2024-11-09 09:50:00,Normal,Environmental Changes
2024-11-09 09:51:00,Normal,Environmental Changes
2024-11-09 09:52:00,Normal,Environmental Changes
2024-11-09 09:53:00,Normal,Environmental Changes
2024-11-09 09:54:00,Normal,Environmental Changes
2024-11-09 09:55:00,Normal,Environmental Changes
2024-11-09 09:56:00,Normal,Environmental Changes
2024-11-09 09:57:00,Normal,Environmental Changes
2024-11-09 09:58:00,Normal,Environmental Changes
2024-11-09 09:59:00,Normal,Environmental Changes
2024-11-09 10:00:00,Normal,Environmental Changes
2024-11-09 10:01:00,Normal,Environmental Changes
2024-11-09 10:02:00,Normal,Environmental Changes
2024-11-09 10:03:00,Normal,Environmental Changes
2024-11-09 10:04:00,Normal,Environmental Changes
2024-11-09 10:05:00,Normal,Environmental Changes
2024-11-09 10:06:00,Normal,Environmental Changes
2024-11-09 10:07:00,Normal,Environmental Changes
2024-11-09 10:08:00,Normal,Environmental Changes
2024-11-09 10:09:00,Normal,Environmental Changes
2024-11-09 10:10:00,Normal,Environmental Changes
2024-11-09 10:11:00,Normal,Environmental Changes
2024-11-09 10:12:00,Normal,Environmental Changes
2024-11-09 10:13:00,Normal,Environmental Changes
2024-11-09 10:14:00,Normal,Environmental Changes
2024-11-09 10:15:00,Normal,Environmental Changes
2024-11-09 10:16:00,Normal,Environmental Changes
2024-11-09 10:17:00,Normal,Environmental Changes
2024-11-09 10:18:00,Normal,Environmental Changes
2024-11-09 10:19:00,Normal,Environmental Changes
2024-11-09 10:20:00,Normal,Environmental Changes
2024-11-09 10:21:00,Normal,Environmental Changes
2024-11-09 10:22:00,Normal,Environmental Changes
2024-11-09 10:23:00,Normal,Environmental Changes
2024-11-09 10:24:00,Normal,Environmental Changes
2024-11-09 10:25:00,Normal,Environmental Changes
2024-11-09 10:26:00,Normal,Environmental Changes
2024-11-09 10:27:00,Normal,Environmental Changes
2024-11-09 10:36:00,Normal,Environmental Changes
2024-11-09 10:37:00,Normal,Environmental Changes
2024-11-09 10:38:00,Normal,Environmental Changes
2024-11-09 10:39:00,Normal,Environmental Changes
2024-11-09 10:40:00,Normal,Environmental Changes
2024-11-09 10:41:00,Normal,Environmental Changes
2024-11-09 10:42:00,Normal,Environmental Changes
2024-11-09 10:43:00,Normal,Environmental Changes
2024-11-09 10:44:00,Normal,Environmental Changes
2024-11-09 10:45:00,Normal,Environmental Changes
2024-11-09 10:46:00,Normal,Environmental Changes
2024-11-09 10:47:00,Normal,Environmental Changes
2024-11-09 10:48:00,Normal,Environmental Changes
2024-11-09 10:49:00,Normal,Environmental Changes
2024-11-09 10:50:00,Normal,Environmental Changes
2024-11-09 10:51:00,Normal,Environmental Changes
2024-11-09 10:52:00,Normal,Environmental Changes
2024-11-09 10:53:00,Normal,Environmental Changes
